profile_username,video_url,views,likes,bookmarks,comments,views_raw,likes_raw,bookmarks_raw,comments_raw,scraped_at
hernametyla,https://www.tiktok.com/@hernametyla/video/7426784960729697541?_r=1&_t=ZP-8xbIOS79WGM,4400000,454300,19000,1746,4.4M,454.3K,19K,1746,2025-06-29T16:06:42.167740
hernametyla,https://www.tiktok.com/@hernametyla/video/7426745252007988486?_r=1&_t=ZP-8xbIOS79WGM,19400000,2000000,70500,4782,19.4M,2M,70.5K,4782,2025-06-29T16:07:15.756252
hernametyla,https://www.tiktok.com/@hernametyla/video/7425025656032890118?_r=1&_t=ZP-8xbIOS79WGM,2800000,135700,8847,859,2.8M,135.7K,8847,859,2025-06-29T16:07:38.677037
hernametyla,https://www.tiktok.com/@hernametyla/video/7424538214968446214?_r=1&_t=ZP-8xbIOS79WGM,2400000,156100,8869,847,2.4M,156.1K,8869,847,2025-06-29T16:08:15.663085
hernametyla,https://www.tiktok.com/@hernametyla/video/7423487833823857925?_r=1&_t=ZP-8xbIOS79WGM,3300000,178100,12600,1234,3.3M,178.1K,12.6K,1234,2025-06-29T16:08:50.181239
hernametyla,https://www.tiktok.com/@hernametyla/video/7421708945137421574?_r=1&_t=ZP-8xbIOS79WGM,2200000,90500,2642,553,2.2M,90.5K,2642,553,2025-06-29T16:09:27.497381
hernametyla,https://www.tiktok.com/@hernametyla/video/7416478342993497349?_r=1&_t=ZP-8xbIOS79WGM,15700000,522900,15000,2008,15.7M,522.9K,15K,2008,2025-06-29T16:10:03.256954
hernametyla,https://www.tiktok.com/@hernametyla/video/7413933660409236741?_r=1&_t=ZP-8xbIOS79WGM,4200000,301100,12800,1348,4.2M,301.1K,12.8K,1348,2025-06-29T16:10:34.920665
hernametyla,https://www.tiktok.com/@hernametyla/video/7410532110286572806?_r=1&_t=ZP-8xbIOS79WGM,5600000,407400,20700,2941,5.6M,407.4K,20.7K,2941,2025-06-29T16:11:10.301672
hernametyla,https://www.tiktok.com/@hernametyla/video/7409493563790298374?_r=1&_t=ZP-8xbIOS79WGM,3200000,183800,7990,1170,3.2M,183.8K,7990,1170,2025-06-29T16:11:37.465317
hernametyla,https://www.tiktok.com/@hernametyla/video/7408585462979382533?_r=1&_t=ZP-8xbIOS79WGM,2400000,115000,5449,560,2.4M,115K,5449,560,2025-06-29T16:11:55.424327
hernametyla,https://www.tiktok.com/@hernametyla/video/7408583424258116869?_r=1&_t=ZP-8xbIOS79WGM,1900000,65500,3819,521,1.9M,65.5K,3819,521,2025-06-29T16:12:14.061119
hernametyla,https://www.tiktok.com/@hernametyla/video/7407956921875025157?_r=1&_t=ZP-8xbIOS79WGM,2100000,76200,3937,484,2.1M,76.2K,3937,484,2025-06-29T16:12:29.514531
hernametyla,https://www.tiktok.com/@hernametyla/video/7407956511315545350?_r=1&_t=ZP-8xbIOS79WGM,1600000,44100,1991,286,1.6M,44.1K,1991,286,2025-06-29T16:12:49.326973
hernametyla,https://www.tiktok.com/@hernametyla/video/7407954420538805509?_r=1&_t=ZP-8xbIOS79WGM,1400000,35200,1744,217,1.4M,35.2K,1744,217,2025-06-29T16:13:06.702100
hernametyla,https://www.tiktok.com/@hernametyla/video/7407447557242195205?_r=1&_t=ZP-8xbIOS79WGM,4400000,653200,25000,3987,4.4M,653.2K,25K,3987,2025-06-29T16:13:31.147620
hernametyla,https://www.tiktok.com/@hernametyla/video/7407252731888487686?_r=1&_t=ZP-8xbIOS79WGM,3100000,229400,7216,1047,3.1M,229.4K,7216,1047,2025-06-29T16:13:50.547259
hernametyla,https://www.tiktok.com/@hernametyla/video/7407012047646575878?_r=1&_t=ZP-8xbIOS79WGM,2400000,183900,11900,1105,2.4M,183.9K,11.9K,1105,2025-06-29T16:14:13.884847
hernametyla,https://www.tiktok.com/@hernametyla/video/7406706086088068358?_r=1&_t=ZP-8xbIOS79WGM,1700000,83200,4280,439,1.7M,83.2K,4280,439,2025-06-29T16:14:45.864700
hernametyla,https://www.tiktok.com/@hernametyla/video/7404710320935161093?_r=1&_t=ZP-8xbIOS79WGM,36500000,4800000,194400,14200,36.5M,4.8M,194.4K,14.2K,2025-06-29T16:15:05.752880
hernametyla,https://www.tiktok.com/@hernametyla/video/7403662069725269253?_r=1&_t=ZP-8xbIOS79WGM,3200000,193900,7628,1022,3.2M,193.9K,7628,1022,2025-06-29T16:15:36.959886
hernametyla,https://www.tiktok.com/@hernametyla/video/7400485067606232325?_r=1&_t=ZP-8xbIOS79WGM,7400000,564600,19700,3528,7.4M,564.6K,19.7K,3528,2025-06-29T16:16:05.869421
hernametyla,https://www.tiktok.com/@hernametyla/video/7398330284430609669?_r=1&_t=ZP-8xbIOS79WGM,3400000,243400,9462,1138,3.4M,243.4K,9462,1138,2025-06-29T16:16:24.379891
hernametyla,https://www.tiktok.com/@hernametyla/video/7396040764532247814?_r=1&_t=ZP-8xbIOS79WGM,3800000,351000,13000,1413,3.8M,351K,13K,1413,2025-06-29T16:16:51.883540
hernametyla,https://www.tiktok.com/@hernametyla/video/7395608270527810821?_r=1&_t=ZP-8xbIOS79WGM,2300000,115200,4028,732,2.3M,115.2K,4028,732,2025-06-29T16:17:11.904191
hernametyla,https://www.tiktok.com/@hernametyla/video/7394806304037997829?_r=1&_t=ZP-8xbIOS79WGM,3100000,207200,8185,1881,3.1M,207.2K,8185,1881,2025-06-29T16:17:31.337198
hernametyla,https://www.tiktok.com/@hernametyla/video/7394530400351128837?_r=1&_t=ZP-8xbIOS79WGM,14500000,2100000,98400,6684,14.5M,2.1M,98.4K,6684,2025-06-29T16:17:51.452554
hernametyla,https://www.tiktok.com/@hernametyla/video/7393420404641041669?_r=1&_t=ZP-8xbIOS79WGM,3100000,193900,7664,1754,3.1M,193.9K,7664,1754,2025-06-29T16:18:13.557113
